X,Y,OBJECTID,ETE_CD,ETE_NM,ETE_ACH_CD,ETE_AA_OPERACAO,ETE_DS_STATUS,ETE_DS_INTEGRADO,ETE_DS_TOTAL,ETE_DS_TIPOLOGIA,ETE_NM_CORPORECEPTOR,ETE_QT_POPPROJ,ETE_PC_REMOCAODBO,ETE_PC_REMOCAOP,ETE_PC_REMOCAON,ETE_MUN_CD_IBGE,ETE_NM_REGIAOMETROP,ETE_DS_TIPOLOGRESUMIDA
-49.5756059999999,-21.450506,2734,3544608_ETE_1,ETE Sabino,86617325,0,Ativa,Não,Sim,Lagoa Anaeróbia, ,0,0.85000002,0,0,3544608, ,LAG
-50.941919,-21.8862859999999,2735,3544707_ETE_1,ETE Sagres,86534781,0,Ativa,Não,Sim,Lagoa Anaeróbia + Lagoa Facultativa/Lagoa de Decantação (Sistema Australiano), ,0,0.85000002,0,0,3544707, ,LAG
-45.8659408949999,-23.5259697729999,2736,3545001_ETE_2,ETE Sede - Salesópolis,86699851,0,Ativa,Não,Sim,Lagoa Anaeróbia + Lagoa Facultativa + Lagoas de Maturação em Série, ,0,0.79000002,0,0,3545001,RM São Paulo - SP,LAG
-50.855065,-21.619255,2737,3545100_ETE_1,ETE Salmourão,8656338,0,Ativa,Não,Sim,Lagoa Anaeróbia + Lagoa Facultativa/Lagoa de Decantação (Sistema Australiano), ,0,0.87,0,0,3545100, ,LAG
-47.6674879999999,-22.827931,2738,3545159_ETE_1,ETE Saltinho,8666326,0,Ativa,Não,Sim,Lagoa Aerada, ,0,0.69,0,0,3545159,Aglomeração Urbana de Piracicaba-AU- Piracicaba - SP,LAG
-47.333593,-23.1937189999999,2739,3545209_ETE_1,ETE Santa Isabel,8669391,0,Ativa,Não,Sim,Reator Anaeróbio + Filtro Anaeróbio/Biológico, ,0,0.88,0,0,3545209,RM de Sorocaba - SP,RAN
-47.5729729999999,-23.6319319999999,2740,3545308_ETE_1,ETE Salto de Pirapora,866869191,0,Ativa,Não,Sim,Lagoa Aerada + Lagoa de Decantação/Facultativa/Maturação, ,0,0.93000001,0,0,3545308,RM de Sorocaba - SP,LAG
-49.990405,-22.8771449999999,2741,3545407_ETE_1,ETE Salto Grande,8645811,0,Ativa,Não,Sim,Lagoa Anaeróbia + Lagoa Facultativa + Lagoa de Maturação, ,0,0.83999997,0,0,3545407, ,LAG
-51.766702,-22.466828,2742,3545506_ETE_1,ETE Sandovalina,86415169,0,Ativa,Não,Sim,Lagoa Anaeróbia + Lagoa Facultativa + Lagoa de Maturação, ,0,0.86000001,0,0,3545506, ,LAG
-48.7952579999999,-21.2592599999999,2743,3545605_ETE_1,ETE Santa Adélia,8682699,0,Ativa,Não,Sim,Lagoa Anaeróbia + Lagoa Facultativa/Lagoa de Decantação (Sistema Australiano), ,0,0.94,0,0,3545605, ,LAG
